               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.7138,              6.5923,              5.1855,          0.00013353,             0.02703,           8.253e-05,          1.7847e-05,                   0,                   0,                   0,            0.070323,           0.0032975,           0.0032975
                   1,              4.5421,              4.9121,              4.4803,            0.070616,             0.25083,            0.070925,            0.015753,                   0,                   0,                   0,            0.040257,           0.0065652,           0.0065652
                   2,              3.9246,              4.2469,              3.9871,             0.25727,             0.19351,           0.0066691,           0.0015939,                   0,                   0,                   0,            0.010125,           0.0097669,           0.0097669
                   3,              3.2921,               3.821,              3.5439,             0.30473,            0.079727,             0.09442,              0.0263,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.7993,              3.2352,              3.1089,             0.41022,             0.42196,             0.21953,            0.079328,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.4964,              2.9782,              2.7371,             0.20433,             0.38738,             0.17051,            0.049445,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.2631,              2.7134,              2.4315,             0.20434,             0.48583,             0.24142,            0.089759,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.1732,              2.5751,              2.2527,             0.29027,             0.48893,             0.28273,            0.091814,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,               2.017,              2.4043,              2.0852,              0.8605,             0.17213,             0.19368,            0.090283,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.9181,              2.2916,              1.9931,             0.57051,             0.19438,             0.13395,            0.044859,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.8565,              2.2493,              1.9494,             0.41235,             0.70838,              0.4736,             0.27533,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.7998,              2.1464,               1.881,             0.34171,             0.42484,             0.29625,             0.16127,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.7391,              2.1556,              1.8204,              0.4366,             0.72408,             0.51595,             0.32908,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.7055,              2.0652,              1.7918,          0.00049722,            0.040398,          0.00019727,          3.9658e-05,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.6612,              1.9839,              1.7211,             0.45943,              0.8192,              0.5414,             0.33263,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
